,Ubigeo,pobreza_media,Anio
605,50405,43.564533000000004,2018
606,50905,43.526737999999995,2018
611,50409,43.483245,2018
612,30209,43.413807999999996,2018
614,30211,43.328688,2018
618,30605,43.187387,2018
620,30501,43.160874,2018
625,30606,42.968059,2018
628,90611,42.947025,2018
631,80912,42.797205,2018
632,90705,42.706731999999995,2018
633,50603,42.702162,2018
634,30107,42.565085,2018
636,90504,42.546562,2018
639,90715,42.500656,2018
647,80807,42.367723,2018
650,50509,42.323311000000004,2018
652,51007,42.320098,2018
654,50911,42.283405,2018
655,50619,42.278768,2018
662,80201,42.064068999999996,2018
667,30505,41.746314,2018
669,30402,41.689197,2018
672,80803,41.62130499999999,2018
674,80407,41.532127,2018
676,50611,41.481291,2018
679,51102,41.373965,2018
680,30713,41.359506,2018
682,80913,41.338265,2018
683,30108,41.283525,2018
684,120502,41.252469000000005,2018
686,90207,41.19127,2018
691,120417,40.86393,2018
692,120426,40.86393,2018
693,120427,40.86393,2018
694,80504,40.854791000000006,2018
695,80207,40.846186,2018
697,30413,40.819857999999996,2018
700,50616,40.744316000000005,2018
706,51106,40.654191,2018
707,90310,40.63401,2018
708,90311,40.63401,2018
709,30502,40.569905000000006,2018
715,90411,40.3827,2018
716,30404,40.353115,2018
719,80602,40.281875,2018
720,81005,40.246822,2018
723,30403,40.195551,2018
724,90707,40.17806,2018
730,90106,40.05058,2018
731,90113,40.05058,2018
736,51108,39.958274,2018
739,80403,39.946301000000005,2018
741,50802,39.918398999999994,2018
742,80406,39.915003,2018
749,50806,39.685743,2018
752,90503,39.635442999999995,2018
753,50621,39.630727,2018
759,30102,39.475629,2018
761,30410,39.414423,2018
762,80102,39.390077000000005,2018
764,50707,39.325269000000006,2018
765,30407,39.315296,2018
768,80604,39.282182999999996,2018
769,50606,39.271149,2018
771,90412,39.201331,2018
773,81003,39.17017,2018
774,81007,39.17017,2018
776,30604,39.165029000000004,2018
777,30506,39.009247,2018
778,30405,39.005857,2018
779,90612,38.982824,2018
782,50503,38.938658,2018
784,50609,38.9161,2018
785,30602,38.898972,2018
786,80708,38.744463,2018
790,30416,38.646567,2018
792,120411,38.62253,2018
793,120433,38.62253,2018
794,120112,38.56399,2018
795,120113,38.56399,2018
796,120135,38.56399,2018
802,90703,38.397839999999995,2018
807,81206,38.297788,2018
808,120213,38.255126999999995,2018
809,120606,38.234087,2018
810,80909,38.185101,2018
812,90501,38.171632,2018
814,30709,38.126225000000005,2018
816,90102,38.095811000000005,2018
817,30204,38.089667,2018
824,50113,37.996694,2018
825,50108,37.988189,2018
826,90112,37.983126999999996,2018
827,30206,37.950094,2018
833,50705,37.805465999999996,2018
834,90403,37.789973999999994,2018
835,120602,37.709363,2018
838,90613,37.465381,2018
842,50803,37.40018,2018
843,50808,37.40018,2018
848,90706,37.21424,2018
849,90711,37.21424,2018
850,50701,37.181469,2018
858,50702,37.010343000000006,2018
869,90507,36.629338000000004,2018
871,120136,36.59578,2018
873,30701,36.550437,2018
874,30417,36.525154,2018
880,80506,36.375307,2018
881,80405,36.319638999999995,2018
887,30305,36.240723,2018
888,51009,36.235036,2018
889,50401,36.194279,2018
890,30208,36.174710000000005,2018
891,80306,36.174095,2018
895,80203,36.10735,2018
900,80302,36.079741,2018
901,80905,36.066762,2018
903,90407,36.023159,2018
904,90502,36.01357,2018
912,90509,35.572278,2018
914,90510,35.548311999999996,2018
920,80202,35.42542,2018
921,80204,35.42542,2018
927,90104,35.232549000000006,2018
928,120604,35.190937000000005,2018
930,90406,35.112554,2018
931,90109,35.103963,2018
935,50604,35.0453,2018
936,50618,35.0453,2018
937,50201,35.00305,2018
938,120402,34.997418,2018
940,50601,34.786636,2018
945,50301,34.64450600000001,2018
947,120415,34.60402,2018
948,120416,34.60402,2018
949,80408,34.576892,2018
958,80606,34.451396,2018
962,80804,34.29943,2018
963,80808,34.29943,2018
969,81305,33.774139,2018
970,90607,33.764808,2018
972,120214,33.713954,2018
974,120607,33.684533,2018
978,90716,33.668138,2018
980,30213,33.594622,2018
981,80914,33.569166,2018
983,90615,33.541436000000004,2018
984,90610,33.5216,2018
985,30411,33.518836,2018
986,120702,33.48464,2018
987,120704,33.48464,2018
992,80603,33.396703,2018
998,81207,33.176199,2018
1003,90119,33.074807,2018
1010,50901,32.838764999999995,2018
1013,51001,32.611348,2018
1015,120403,32.56425,2018
1016,120405,32.56425,2018
1019,50605,32.446012,2018
1020,30705,32.39691,2018
1021,30711,32.39691,2018
1022,30106,32.346012,2018
1024,50804,32.14853,2018
1025,50807,32.14853,2018
1028,50706,32.122544,2018
1029,50408,32.096351,2018
1030,30406,32.06848,2018
1031,30412,32.06848,2018
1032,30302,32.0526,2018
1033,30304,32.0526,2018
1036,30415,31.980678,2018
1039,50507,31.925593000000003,2018
1048,120104,31.81542,2018
1049,120105,31.81542,2018
1050,120106,31.81542,2018
1051,120111,31.81542,2018
1052,120116,31.81542,2018
1053,120120,31.81542,2018
1054,120124,31.81542,2018
1055,80608,31.785967999999997,2018
1062,30306,31.609306999999998,2018
1065,50107,31.561664999999998,2018
1068,120302,31.267017000000003,2018
1069,90404,31.183464999999998,2018
1070,30104,31.117321999999994,2018
1071,81106,30.984116,2018
1073,120204,30.896250000000002,2018
1074,120206,30.896250000000002,2018
1075,120207,30.896250000000002,2018
1083,80910,30.628854,2018
1085,120303,30.580174,2018
1090,120503,30.489644,2018
1101,81306,30.320912,2018
1102,81001,30.318799999999996,2018
1103,81004,30.318799999999996,2018
1104,81009,30.318799999999996,2018
1105,50809,30.29507,2018
1106,50810,30.29507,2018
1109,30712,30.130696,2018
1110,30216,30.120466,2018
1111,110203,30.081300999999996,2018
1118,81202,29.921493999999996,2018
1119,80805,29.903014,2018
1120,80402,29.860187,2018
1126,50620,29.714467,2018
1128,90401,29.696344000000003,2018
1129,80305,29.627913999999997,2018
1140,50704,29.416076000000004,2018
1148,120418,29.091009999999997,2018
1149,120419,29.091009999999997,2018
1150,120422,29.091009999999997,2018
1151,120424,29.091009999999997,2018
1152,120429,29.091009999999997,2018
1153,120432,29.091009999999997,2018
1165,120906,28.86316,2018
1166,120909,28.86316,2018
1180,90305,28.39438,2018
1182,90309,28.39438,2018
1183,120603,28.28469,2018
1184,120609,28.28469,2018
1185,30301,28.199999999999996,2018
1186,80307,28.091778,2018
1194,90701,28.008037,2018
1195,90204,27.95382,2018
1196,90205,27.95382,2018
1197,80206,27.856699000000003,2018
1199,81201,27.845377,2018
1202,51105,27.591488,2018
1208,50610,27.398913000000004,2018
1217,120705,26.84906,2018
1218,120708,26.84906,2018
1223,50104,26.660474,2018
1224,90606,26.58547,2018
1225,90608,26.58547,2018
1226,90616,26.58547,2018
1227,120121,26.55351,2018
1229,120126,26.55351,2018
1247,120128,25.97536,2018
1248,120129,25.97536,2018
1249,30201,25.891636000000005,2018
1250,80801,25.869895999999997,2018
1259,90107,25.765432,2018
1263,80301,25.636171,2018
1264,90505,25.556384,2018
1265,120903,25.5341,2018
1266,120905,25.5341,2018
1268,30303,25.489168,2018
1270,80107,25.397937,2018
1281,120119,25.031550000000003,2018
1283,80907,25.020310000000002,2018
1291,120407,24.70769,2018
1292,120423,24.70769,2018
1293,120430,24.70769,2018
1294,120904,24.670120000000004,2018
1295,120907,24.670120000000004,2018
1298,120707,24.586478999999997,2018
1307,120802,24.41379,2018
1308,120809,24.41379,2018
1309,90402,24.38605,2018
1310,90410,24.38605,2018
1312,120133,24.349749000000003,2018
1313,81302,24.33862,2018
1314,81303,24.33862,2018
1323,80308,24.26189,2018
1324,80309,24.26189,2018
1329,120421,24.17415,2018
1330,120434,24.17415,2018
1331,80401,24.155720000000002,2018
1334,80802,23.973385999999998,2018
1340,80903,23.866263,2018
1341,90201,23.839498,2018
1342,120706,23.744443999999998,2018
1351,50801,23.525361,2018
1352,81304,23.51616,2018
1353,80601,23.505524,2018
1357,30401,23.417227,2018
1363,90602,23.34951,2018
1364,90603,23.34951,2018
1365,90605,23.34951,2018
1366,120210,23.266353,2018
1367,80902,23.265437,2018
1379,120208,22.96238,2018
1380,120209,22.96238,2018
1388,120420,22.73657,2018
1389,120425,22.73657,2018
1401,120130,22.34907,2018
1402,120132,22.34907,2018
1403,120134,22.34907,2018
1406,120501,22.178845,2018
1415,120404,21.93331,2018
1417,120406,21.93331,2018
1418,120601,21.841047000000003,2018
1419,80906,21.80408,2018
1420,80908,21.80408,2018
1423,80103,21.672473,2018
1425,90604,21.54027,2018
1426,90609,21.54027,2018
1427,90614,21.54027,2018
1428,120304,21.489420000000003,2018
1430,81008,21.347982,2018
